mindex,n,predictors,rsquare,adjr,predrsq,cp,aic,sbic,sbc,msep,fpe,apc,hsp
71,4,mpg carclass_id mpg_rec I(factor(same_mpg)),0.6529591284904008,0.6289332220012747,0.5921167117370754,56.84183492132581,3069.2253154322243,2659.289790592961,3101.5833820809266,24117216968.238667,185250095.15282515,0.3727476027325325,1334792.2450538096
72,4,mpg mpgmpge carclass_id mpg_rec,0.6528359563991518,0.6288015226114008,0.5926040371524162,56.90814901119066,3069.2749955557165,2659.3365455122444,3101.633062204419,24125776674.86965,185315844.30082834,0.3728798986823925,1335265.9908448774
73,4,mpg carclass_id mpg2 mpg_rec,0.6527632464901275,0.628723778939444,0.5859076373193355,56.9472949848622,3069.304314033872,2659.36413805006,3101.662380682574,24130829568.62263,185354656.78278965,0.3729579945106038,1335545.6484606562
74,4,accelrate mpgmpge carclass_id I(factor(same_mpg)),0.6526165938935101,0.6285669734707531,0.5937203632331058,57.026250642530925,3069.3634294037533,2659.4197741755415,3101.7214960524557,24141021026.695545,185432939.8027683,0.3731155102625262,1336109.7052180937
75,4,carclass_id mpg2 mpg_rec I(factor(same_mpg)),0.6520656961367352,0.6279779366385092,0.5907813487580569,57.322846104852545,3069.5852724576002,2659.6285701560873,3101.9433391063026,24179305049.755035,185727008.5140936,0.3737072152605438,1338228.5739564127
76,4,mpgmpge carclass_id mpg2 mpg_rec,0.6520339358011477,0.6279439775104578,0.5914698656522683,57.339945414663106,3069.5980514334115,2659.6405980310556,3101.956118082114,24181512198.731503,185743962.1517561,0.3737413282135822,1338350.7308927355
77,4,accelrate mpgmpge carclass_id mpg2,0.6519008286754842,0.6278016552760946,0.6084940224751189,57.411608384767675,3069.651595259102,2659.6909952921305,3102.0096619078045,24190762329.46014,185815014.61190993,0.37388429512633187,1338862.6889175186
78,4,accelrate carclass_id mpg2 I(factor(same_mpg)),0.6518641992349071,0.62776248995117,0.6059628041554073,57.431329150969674,3069.6663262677157,2659.7048607698393,3102.024392916418,24193307851.438522,185834567.37329733,0.3739236378588035,1339003.573456594
79,4,mpgmpge carclass_id mpg_rec I(factor(same_mpg)),0.6485644693867926,0.6242343172674167,0.5816419512110412,59.207856442653025,3070.9870367770995,2660.9482414561203,3103.345103425802,24422618884.278496,187595960.10402334,0.3774677921401117,1351695.0290562669
80,4,accelrate mpgmpge mpg2 mpg_rec,0.6327867559567987,0.6219063635407038,0.6013889796030749,67.70235138585565,3067.1353388697253,2666.7435317805193,3084.785193405381,25519073421.17108,188758159.67282015,0.3944142250834385,1360069.0866801245
81,4,mpg mpgmpge carclass_id mpg2,0.6324143334893958,0.6069660950386617,0.5629288282796131,67.90285830849211,3077.2772529339736,2666.877432687349,3109.635319582676,25544954503.739628,196216887.65849167,0.39481423440027863,1413811.851373589
82,4,mpg carclass_id mpg2 I(factor(same_mpg)),0.632369336477779,0.6069179828493176,0.5618177003308055,67.92708405510197,3077.2943896089273,2666.893602152686,3109.6524562576296,25548081520.702686,196240907.02153483,0.394862564523867,1413984.9193522837
83,4,mpg accelrate mpgmpge mpg_rec,0.6322057736230325,0.6213081669155669,0.6002188050519233,68.01514395355971,3067.3566632696543,2666.952361775298,3085.00651780531,25559448138.238853,189056801.28747615,0.39503824314563174,1362220.9047991075
84,4,accelrate mpg2 mpg_rec I(factor(same_mpg)),0.6307431185381956,0.6198021739022903,0.5973396109188513,68.80261650317371,3067.9123153228297,2667.4767106109334,3085.5621698584855,25661093716.401634,189808648.03191823,0.3966092430515677,1367638.2256545832
